accuracy,id,lat,lng,speed,time,type,state,stepCount,beaconData
230.4,0,37.554439,126.616542,0.00,1699664657000,START,AUTOMOBILE,0,
6.5,0,37.553262,126.614438,22.34,1699664667000,NORMAL,AUTOMOBILE,0,
6.5,0,37.553208,126.614198,22.34,1699664668000,NORMAL,AUTOMOBILE,0,
6.5,0,37.553152,126.613946,22.31,1699664669000,NORMAL,AUTOMOBILE,0,
6.5,0,37.553098,126.613702,22.31,1699664670000,NORMAL,AUTOMOBILE,0,
6.5,0,37.553050,126.613472,21.86,1699664671000,NORMAL,AUTOMOBILE,0,
8.2,0,37.552997,126.613234,21.86,1699664672000,NORMAL,AUTOMOBILE,0,
8.2,0,37.552935,126.613002,21.32,1699664673000,NORMAL,AUTOMOBILE,0,
8.2,0,37.552883,126.612795,20.47,1699664674000,NORMAL,AUTOMOBILE,0,
8.2,0,37.552833,126.612563,20.47,1699664675000,NORMAL,AUTOMOBILE,0,
8.2,0,37.552788,126.612357,20.07,1699664676000,NORMAL,AUTOMOBILE,0,
8.2,0,37.552743,126.612162,19.28,1699664677000,NORMAL,AUTOMOBILE,0,
8.2,0,37.552700,126.611984,17.77,1699664678000,NORMAL,AUTOMOBILE,0,
8.2,0,37.552653,126.611790,17.77,1699664679000,NORMAL,AUTOMOBILE,0,
8.2,0,37.552614,126.611615,17.31,1699664680000,NORMAL,AUTOMOBILE,0,
8.2,0,37.552578,126.611453,16.35,1699664681000,NORMAL,AUTOMOBILE,0,
8.2,0,37.552548,126.611328,13.74,1699664682000,NORMAL,AUTOMOBILE,0,
8.2,0,37.552514,126.611181,13.74,1699664683000,NORMAL,AUTOMOBILE,0,
