accuracy,id,lat,lng,speed,time,type,state,stepCount
52.8,0,37.731970,126.799113,0.00,4789740201710026752,START,AUTOMOBILE,0
78.8,0,37.729909,126.800502,0.00,4789740201939402752,STOP,AUTOMOBILE,0
8.2,0,37.729719,126.800818,4.16,4789740202021322752,NORMAL,AUTOMOBILE,2
7.9,0,37.729323,126.800638,9.31,4789740202033610752,NORMAL,AUTOMOBILE,2
6.5,0,37.728557,126.800196,7.76,4789740202074570752,NORMAL,AUTOMOBILE,2
8.2,0,37.727832,126.799734,5.82,4789740202123722752,NORMAL,AUTOMOBILE,2
8.2,0,37.727832,126.799734,5.82,4789740204206287749,END,,0
