accuracy,id,lat,lng,speed,time,type,state,stepCount,beaconData,output,grid_label
9.5,0,37.538302,126.649954,13.4,1697938275000,START,AUTOMOBILE,0,,N,KECABBAB
9.5,0,37.538417,126.64995,13.4,1697938276000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
9.5,0,37.538549,126.649943,13.6,1697938277000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
9.5,0,37.538695,126.649942,16.19,1697938278000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
9.5,0,37.538829,126.649933,16.19,1697938279000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
9.5,0,37.538965,126.649921,14.85,1697938280000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
9.5,0,37.539099,126.649909,14.85,1697938281000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
9.5,0,37.539221,126.649899,14.78,1697938282000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
9.5,0,37.539323,126.649893,13.42,1697938283000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
9.5,0,37.539416,126.649887,11.96,1697938284000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
8.2,0,37.539509,126.649897,11.96,1697938285000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
8.2,0,37.539585,126.649909,10.3,1697938286000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
8.2,0,37.539644,126.649913,9.13,1697938287000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
8.2,0,37.539672,126.64987,7.16,1697938288000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
8.2,0,37.53966,126.649822,4.16,1697938289000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
9.5,0,37.53966,126.649777,4.22,1697938290000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
8.2,0,37.539624,126.649733,4.22,1697938291000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
8.2,0,37.539572,126.649701,4.87,1697938292000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
8.2,0,37.539501,126.64967,6.48,1697938293000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
8.2,0,37.539355,126.649704,11.38,1697938294000,RAPID0,AUTOMOBILE,0,,N,KECABBAB
8.2,0,37.539247,126.649695,12.4,1697938295000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
8.2,0,37.539132,126.649685,12.4,1697938296000,NORMAL,AUTOMOBILE,0,,N,KECABBAB
